08a3e06c-c31c-4d2d-9591-0b94847681a6,Pedro P,2312313d,pedro@company.com
eb951c71-07e6-433d-a194-d85a36d6f301,Luis,dasd,adsd
f1dd9a3c-5027-4758-9867-5c837b359a78,Pablo,dasd,adsda
fffb52c3-0fe7-472f-9d4a-aee46150c925,Laura G,7225182,laura.g@example.com  
99f445d2-e788-438f-b040-28b390868d26,Carlos M,2098873,carlos.m@example.com  
83384bbc-8870-4472-b6f0-92361f5158a0,Andrés T,8534229,andrés.t@example.com  
508a2d60-ddac-4ebf-b75b-bb05d1bc2eb0,Marta V,2985448,marta.v@example.com  
92b22352-0ebc-4664-9d2b-e8e4b079faeb,Sofía L,6353831,sofía.l@example.com  
6fbee6ef-c511-42db-9f4b-631b7d3f953a,Mateo R,9264809,mateo.r@example.com  
6c929c68-3e9a-40ac-b230-b428922a0863,Daniela Q,6603524,daniela.q@example.com  
2962001b-d4a9-4c1e-bde4-bfbe670d6e56,Camila B,6034975,camila.b@example.com  
17f1fd13-d09e-404e-8dcb-97038e798033,Julio Z,3876421,julio.z@example.com  
3aea3526-23fe-43af-8cfa-11724567afe7,Fernanda J,3700580,fernanda.j@example.com  
853dfb39-f7dc-43b2-84c4-730addfa9794,Esteban C,3364019,esteban.c@example.com  
8f5cd0a3-920d-465a-bff2-3d7bc1796e1e,Lucía N,8596284,lucía.n@example.com  
9a721a17-3e27-4c86-a7a8-c45fae1ee39b,Juan K,9461266,juan.k@example.com  
7b9bce97-6ddf-4fbd-89f4-3f2871ca2873,Sara H,3740511,sara.h@example.com  
806d5af1-eb51-44a4-b240-dd3839395f6b,Tomás Y,5946854,tomás.y@example.com  
73c500ce-d113-4d1a-a875-dc1ce14fe616,Valentina D,1882814,valentina.d@example.com  
8a49656d-81c5-43dd-adfc-2c6b49c10ff6,Ricardo E,2363022,ricardo.e@example.com  
